att1,att2,att3,att4,att5,target
0.66032,0.806674,0.029818,0.81117,0.945416,1
0.286498,0.169238,0.487458,0.943169,0.89061,1
0.961211,0.333785,0.260007,0.419378,0.125397,1
0.842762,0.053801,0.899508,0.732109,0.558303,1
0.58526,0.284272,0.708601,0.94168,0.07736,1
0.637386,0.646376,0.673361,0.751527,0.156702,1
0.889896,0.888338,0.280299,0.742318,0.960797,1
0.940377,0.96733,0.052786,0.675272,0.803956,1
0.643047,0.741931,0.137436,0.995359,0.473179,1
0.726969,0.573595,0.454218,0.961913,0.173178,1
0.713944,0.117274,0.593279,0.452017,0.304259,1
0.343442,0.428902,0.80367,0.742486,0.664584,1
0.993719,0.202024,0.585462,0.460725,0.31021,1
0.819798,0.966639,0.581166,0.40865,0.569127,1
0.920096,0.85949,0.313285,0.18152,0.012139,1
0.970377,0.407588,0.497509,0.674829,0.492139,0
0.860034,0.956592,0.603625,0.969844,0.008715,1
0.622912,0.134686,0.62704,0.141341,0.73451,1
0.857653,0.156077,0.917301,0.957042,0.223582,1
0.722611,0.942237,0.692566,0.413857,0.889206,1
0.437592,0.051822,0.359625,0.931328,0.249678,0
0.156081,0.988464,0.534841,0.162686,0.177286,1
0.3346,0.346457,0.237175,0.629493,0.217551,0
0.543445,0.758898,0.477097,0.524646,0.094592,1
0.63106,0.31061,0.74921,0.70736,0.844235,1
0.607344,0.131422,0.580992,0.150141,0.630336,0
0.958473,0.405628,0.492966,0.270234,0.465625,1
0.091147,0.958589,0.9708,0.206238,0.663178,1
0.170519,0.943779,0.788033,0.709024,0.684942,1
0.939675,0.554291,0.491273,0.709693,0.54995,1
0.843501,0.744186,0.55792,0.175658,0.730321,0
0.689404,0.05326,0.302467,0.748389,0.16493,0
0.773227,0.200975,0.300018,0.900685,0.043456,1
0.6674,0.556745,0.772099,0.141886,0.000162,1
0.539488,0.016022,0.490814,0.499096,0.201766,0
0.968371,0.920078,0.087764,0.646238,0.954455,0
0.558345,0.165225,0.70195,0.532709,0.325671,1
0.765145,0.992491,0.401962,0.39465,0.504651,1
0.49089,0.023996,0.431604,0.073005,0.281073,0
0.749633,0.614195,0.594104,0.54263,0.562941,1
0.668455,0.340107,0.99988,0.630537,0.424558,1
0.7026,0.314573,0.761179,0.161684,0.254293,1
0.199245,0.640247,0.962742,0.662426,0.502639,1
0.944638,0.20801,0.838972,0.209796,0.428459,1
0.236605,0.087262,0.943961,0.396047,0.234506,1
0.591077,0.233456,0.947868,0.16748,0.70885,1
0.714232,0.920212,0.586142,0.070758,0.262544,1
0.257836,0.639749,0.719763,0.452478,0.793692,1
0.252201,0.674924,0.039527,0.717666,0.610722,0
0.092206,0.636145,0.158763,0.061452,0.05059,1
