att1,att2,att3,att4,att5,target
0.006117,0.963705,0.939865,0.947195,0.937082,1
0.506484,0.115967,0.770536,0.659893,0.156747,0
0.481728,0.544555,0.5771,0.204914,0.623364,1
0.178055,0.540397,0.973834,0.245427,0.394521,1
0.652477,0.984323,0.206738,0.37465,0.46335,1
0.428784,0.308093,0.717322,0.962415,0.209493,0
0.777916,0.225022,0.983103,0.803619,0.836315,1
0.123671,0.616951,0.481862,0.09975,0.617146,0
0.074048,0.679935,0.280002,0.603984,0.849641,1
0.246486,0.248489,0.706858,0.337721,0.607335,0
0.369134,0.463838,0.177243,0.676123,0.715572,1
0.630401,0.928894,0.196689,0.754646,0.157631,0
0.667073,0.426443,0.400557,0.743762,0.365306,1
0.478676,0.131169,0.031796,0.444457,0.691521,0
0.781355,0.966254,0.996523,0.239106,0.445181,1
0.266417,0.229171,0.303976,0.371941,0.857127,0
0.349011,0.228136,0.1676,0.594631,0.80989,1
0.686431,0.224574,0.444599,0.707614,0.029798,0
0.969097,0.349986,0.272886,0.011229,0.794023,1
0.027574,0.746923,0.636326,0.938539,0.093859,0
0.833772,0.255716,0.64057,0.716492,0.801783,1
0.879977,0.06046,0.071766,0.229253,0.222621,0
0.249285,0.796681,0.707927,0.466092,0.80332,1
0.238113,0.453188,0.481088,0.065748,0.108823,0
0.669616,0.517706,0.554398,0.916763,0.380352,1
0.87529,0.412441,0.529256,0.633051,0.161035,0
0.771469,0.359339,0.603125,0.367112,0.631842,1
0.491337,0.96981,0.676968,0.768814,0.099076,0
0.565148,0.947068,0.275139,0.338515,0.479592,1
0.043435,0.279124,0.776811,0.195114,0.592368,0
0.916713,0.471673,0.767731,0.821168,0.516041,1
0.284694,0.061952,0.092116,0.426465,0.210285,0
0.638686,0.433898,0.38764,0.005913,0.908114,1
0.649751,0.164062,0.982472,0.157395,0.074936,0
0.941741,0.862476,0.681682,0.935838,0.98955,1
0.57297,0.504816,0.197502,0.307974,0.41758,0
0.303015,0.708083,0.876051,0.938791,0.358038,1
0.044621,0.274203,0.191401,0.711115,0.161528,0
0.792178,0.505182,0.126911,0.504696,0.670188,1
0.108341,0.477601,0.983557,0.397653,0.213767,0
0.087459,0.667299,0.844607,0.863436,0.69551,1
0.463744,0.075823,0.296906,0.608071,0.120555,0
0.877347,0.755858,0.352414,0.567698,0.207071,1
0.149326,0.951209,0.833835,0.606454,0.390977,0
0.357973,0.756916,0.661319,0.786563,0.734027,1
0.80507,0.135833,0.844722,0.929499,0.199908,0
0.644658,0.336351,0.789638,0.687668,0.480023,1
0.400053,0.51378,0.447821,0.851718,0.05776,1
0.625613,0.933648,0.379457,0.938623,0.358209,1
0.201763,0.615626,0.813761,0.759893,0.287253,0
0.173665,0.998635,0.341391,0.869467,0.706528,1
0.401949,0.133005,0.946326,0.645816,0.271649,1
0.016345,0.689129,0.744354,0.732749,0.673493,1
0.275715,0.582541,0.456939,0.070331,0.399924,0
0.208492,0.169648,0.994681,0.24272,0.967131,1
0.672985,0.354624,0.590051,0.937792,0.258504,1
0.444555,0.535351,0.861196,0.697777,0.882588,1
0.160207,0.112859,0.28103,0.236544,0.835356,0
0.602741,0.543405,0.285561,0.836157,0.790067,1
0.242534,0.407991,0.846441,0.416988,0.383955,0
0.114907,0.909679,0.281756,0.237345,0.945099,1
0.095642,0.209508,0.787658,0.61208,0.135807,0
0.497208,0.954172,0.29683,0.931113,0.642911,1
0.485811,0.250341,0.292517,0.008374,0.210583,0
0.460131,0.795217,0.950457,0.471033,0.804322,1
0.07842,0.089747,0.089531,0.001973,0.416487,0
0.122629,0.916507,0.85337,0.06702,0.716051,1
0.957341,0.778299,0.32086,0.524526,0.032126,0
0.50314,0.639923,0.315059,0.726772,0.516385,1
0.283961,0.810791,0.667316,0.288455,0.554954,0
0.433875,0.699835,0.195661,0.716235,0.500576,1
0.789504,0.854061,0.367707,0.596608,0.084045,1
0.17296,0.209366,0.975174,0.989402,0.771869,1
0.485105,0.86227,0.03829,0.326636,0.207526,0
0.93421,0.362402,0.276038,0.905621,0.671942,1
0.086025,0.440844,0.064397,0.815892,0.68535,0
0.941984,0.650409,0.053986,0.484374,0.893549,1
0.218992,0.739977,0.626504,0.647361,0.127046,0
0.407978,0.194628,0.417074,0.538994,0.77099,1
0.241158,0.392823,0.296504,0.79103,0.440362,0
0.343182,0.047394,0.747994,0.017132,0.939795,1
0.133523,0.524351,0.406014,0.775289,0.551765,0
0.392512,0.740516,0.809238,0.267134,0.91281,1
0.353636,0.33083,0.110868,0.303479,0.399181,0
0.428247,0.667328,0.377152,0.327694,0.711457,1
0.788509,0.805715,0.374831,0.810623,0.017795,0
0.796672,0.588667,0.919573,0.90442,0.855491,1
0.818853,0.402731,0.684205,0.885211,0.052323,0
0.82689,0.04392,0.170434,0.614844,0.879241,1
0.197255,0.779976,0.494207,0.497816,0.103736,0
0.3243,0.922086,0.289689,0.473791,0.744472,1
0.261405,0.448782,0.093937,0.029503,0.725913,0
0.511427,0.905896,0.128294,0.351256,0.873846,1
0.579658,0.803932,0.704444,0.8148,0.096258,0
0.236041,0.448835,0.751117,0.153054,0.993508,1
0.020982,0.285882,0.597133,0.561982,0.840285,0
0.560958,0.716564,0.660206,0.15932,0.701903,1
0.326723,0.170306,0.426566,0.225877,0.138127,0
0.521908,0.17994,0.618004,0.396977,0.800526,1
0.583162,0.634093,0.091093,0.14939,0.203542,0
0.304292,0.336435,0.652079,0.757988,0.865827,1
0.674288,0.172753,0.496461,0.312063,0.205121,0
0.986924,0.68398,0.17648,0.546303,0.685957,1
0.195816,0.888962,0.761959,0.332644,0.482514,0
0.486425,0.813383,0.88591,0.225876,0.939554,1
0.150971,0.047985,0.467781,0.548533,0.104234,0
0.824845,0.734534,0.560819,0.330522,0.911704,1
0.23577,0.22966,0.865777,0.17636,0.560989,0
0.67436,0.549067,0.837337,0.484466,0.666816,1
0.167315,0.184125,0.804773,0.774851,0.208395,0
0.741313,0.582419,0.173175,0.7533,0.757702,1
0.072859,0.437282,0.083171,0.303063,0.701801,0
0.111645,0.846548,0.033889,0.609726,0.80626,1
0.629681,0.782653,0.576257,0.086179,0.266881,0
0.97672,0.975965,0.57328,0.951382,0.792393,1
0.059052,0.160237,0.107456,0.727808,0.918949,0
0.830108,0.198483,0.961978,0.989239,0.4989,1
0.261079,0.336046,0.53868,0.338525,0.448199,0
0.555102,0.463731,0.327044,0.236946,0.743514,1
0.428047,0.685163,0.282246,0.884516,0.151839,0
0.93566,0.400089,0.534247,0.797843,0.876086,1
0.359298,0.285547,0.279558,0.593749,0.53777,0
0.407298,0.592939,0.385213,0.468345,0.983656,1
0.21262,0.366964,0.324356,0.552511,0.034898,0
0.852697,0.8992,0.462351,0.465924,0.626106,1
0.250926,0.054465,0.248744,0.281474,0.263231,0
0.610171,0.852172,0.586115,0.722566,0.670313,1
0.096631,0.232479,0.449382,0.951734,0.341517,0
0.657382,0.863655,0.423633,0.46631,0.692185,1
0.89451,0.598155,0.929964,0.132925,0.069268,0
0.454932,0.534835,0.157248,0.581116,0.79076,1
0.169112,0.283637,0.552141,0.257167,0.26243,0
0.803576,0.878755,0.961585,0.752515,0.004026,1
0.787374,0.090271,0.490413,0.516747,0.324073,0
0.932601,0.887817,0.228715,0.587224,0.224641,1
0.406158,0.760606,0.336657,0.22278,0.393447,0
0.925263,0.857874,0.405173,0.451033,0.120475,1
0.366903,0.634313,0.036988,0.307205,0.313191,0
0.770019,0.88914,0.523177,0.899579,0.363965,1
0.457817,0.390634,0.866043,0.43009,0.183504,1
0.641474,0.708669,0.885719,0.434716,0.982308,1
0.341645,0.83815,0.927414,0.63772,0.193799,0
0.891789,0.867792,0.62663,0.962524,0.884581,1
0.717798,0.28294,0.389272,0.563889,0.082424,0
0.165347,0.766874,0.850907,0.115872,0.951031,1
0.42699,0.249575,0.068932,0.480584,0.02181,0
0.63336,0.921379,0.095991,0.843894,0.529496,1
0.395872,0.078075,0.03916,0.219786,0.686126,0
0.904698,0.85492,0.647554,0.556461,0.653626,1
0.328452,0.007965,0.832753,0.674755,0.444742,0
0.50958,0.684823,0.819757,0.75997,0.717862,1
0.199121,0.279291,0.635618,0.665921,0.556828,0
0.791631,0.088455,0.337914,0.859937,0.77817,1
0.605893,0.063069,0.162907,0.982285,0.002439,0
0.618347,0.414709,0.897252,0.606272,0.353189,1
0.565053,0.432677,0.565879,0.288882,0.050388,0
0.998026,0.417002,0.591611,0.508653,0.348699,1
0.044568,0.617795,0.984054,0.436397,0.013196,0
0.378511,0.812481,0.522669,0.504392,0.796833,1
0.039254,0.869121,0.01274,0.849508,0.191007,1
0.856915,0.389833,0.389167,0.923687,0.269296,0
0.937164,0.235938,0.123956,0.168113,0.239297,0
0.137135,0.227492,0.89671,0.808709,0.955204,1
0.738604,0.394894,0.670885,0.493489,0.205547,0
0.513671,0.292216,0.206856,0.477286,0.895011,1
0.800725,0.7576,0.005637,0.271327,0.217301,0
0.756009,0.622797,0.776149,0.481094,0.403802,1
0.499169,0.897425,0.617065,0.060713,0.265974,0
0.314798,0.367232,0.984577,0.938694,0.990651,1
0.695168,0.222958,0.159475,0.322357,0.060842,0
0.860374,0.599515,0.02017,0.887657,0.570729,1
0.091961,0.113137,0.469794,0.354717,0.009026,0
0.969056,0.325324,0.287991,0.372301,0.846667,1
0.593804,0.618307,0.410467,0.114263,0.14119,0
0.886759,0.348325,0.522779,0.882186,0.190162,0
0.183643,0.708884,0.411937,0.020259,0.15901,0
0.95636,0.167041,0.562854,0.580437,0.525238,1
0.008057,0.319441,0.710882,0.989344,0.366277,0
0.277457,0.724285,0.70411,0.699487,0.591114,0
