attrib1,attrib2,attrib3,target
7.308782,4.100808,2.077148,1
7.107396,1.527362,1.595781,1
9.370821,3.971743,3.47518,1
7.616747,6.239725,8.79263,1
0.050252,5.231352,7.439845,0
8.456557,4.065408,9.498398,1
0.383269,5.923792,6.551736,0
5.862484,9.622148,2.651553,1
6.304049,9.09584,5.076599,1
1.368305,5.460894,4.946194,0
7.891907,6.990066,2.046356,1
1.743711,6.995916,9.289719,1
1.631035,6.374974,0.087604,1
9.105662,3.04236,8.082408,1
9.871021,1.532462,7.105748,1
5.908698,2.840092,5.257914,1
6.799354,2.800016,6.039837,1
5.634773,2.416056,0.180029,1
8.867444,0.437027,4.577002,1
9.679794,6.304712,5.528079,1
9.072812,2.464856,2.484888,1
7.777117,2.164067,8.788763,1
3.691343,4.638378,1.772427,1
5.774271,9.158855,7.252264,1
1.104899,7.746041,3.064828,1
5.55044,8.779525,2.559627,1
1.102736,7.621331,0.300688,1
9.376742,4.723449,0.627866,1
7.637549,3.226692,5.127188,1
9.657951,7.803253,3.170249,1
2.344741,6.560824,5.722296,1
3.764263,3.924705,4.165145,0
6.379469,3.033671,0.65397,0
5.793622,5.213967,4.075749,0
6.697853,0.743614,6.091411,0
1.53548,9.303414,4.595106,1
6.061902,6.815265,5.837433,1
1.05936,9.834627,6.010314,1
1.003754,8.189424,7.478598,1
4.613744,9.307335,2.381019,1
9.596822,8.187796,2.148099,1
8.264131,2.981654,1.588645,1
1.196398,5.105833,7.429312,0
9.341456,5.633713,9.335032,1
2.92982,8.855047,5.443436,1
9.458035,9.471917,3.728112,1
4.796056,9.611818,2.381135,1
5.499313,4.547299,7.26118,1
7.989182,3.497806,1.299686,1
3.722137,5.192355,2.020534,1
4.783721,8.7529,4.124413,1
3.842125,6.584301,2.282186,1
3.671121,6.318421,8.844654,1
1.088107,3.436425,0.261421,0
1.655577,9.223078,9.960623,1
8.219769,4.779824,0.45032,1
6.688756,3.123308,8.884202,0
7.803626,3.629299,7.821059,1
3.937108,9.658499,3.173634,1
9.265922,8.285492,2.542949,1
8.764579,7.756168,5.004932,1
8.134777,3.436455,1.297465,1
5.651482,9.47068,2.751386,1
9.414138,9.343245,6.085006,1
2.791237,7.76811,1.951137,1
4.97065,4.379751,2.791973,1
4.437553,0.183963,9.592077,0
6.259561,8.970781,6.226382,1
8.398619,0.00263,7.473469,1
1.848429,9.26603,0.444066,1
1.803221,3.334778,8.22739,0
2.678137,5.733335,8.026511,1
4.503831,4.272329,5.193948,1
