attrib1,attrib2,attrib3,target
7.308782,4.100808,2.077148,1
6.588672,7.107396,1.527362,1
9.398654,9.471949,9.370821,1
9.139629,1.593396,3.690026,1
1.159671,7.705359,6.598927,1
7.616747,6.239725,8.79263,1
8.052278,0.050252,5.231352,0
7.0501,2.750299,0.753878,1
9.989808,6.304049,9.09584,1
2.657896,1.166703,1.368305,0
7.173224,9.624146,2.094927,1
2.424783,8.011571,1.098411,1
7.891907,6.990066,2.046356,1
6.99594,1.743711,6.995916,1
8.036186,8.363149,1.631035,0
3.207844,6.54426,3.728733,1
8.803573,7.070442,7.233716,1
9.472602,5.09387,6.543157,1
6.039837,8.496408,3.538233,1
2.416056,0.180029,8.257519,0
7.298239,8.867444,0.437027,1
5.57856,2.613272,5.966869,1
6.62026,9.072812,2.464856,1
8.759901,8.540498,7.777117,1
3.691343,4.638378,1.772427,0
8.242939,5.774271,9.158855,1
5.898935,6.440123,1.104899,1
8.3552,7.453021,3.694721,1
9.288937,1.966894,7.546462,1
5.47224,0.754076,6.511447,0
5.127188,4.786759,1.311688,1
5.548937,9.657951,7.803253,1
6.560824,5.722296,5.559666,1
4.540692,4.697351,4.509639,0
3.719405,8.57127,8.070764,1
9.795762,1.53548,9.303414,1
1.157884,6.912259,3.490107,1
3.882611,6.828427,4.871372,1
6.061902,6.815265,5.837433,1
1.891668,5.518105,6.587831,1
4.445994,7.076135,0.297977,1
6.010314,5.307896,1.8881,1
5.222592,3.15315,6.961129,1
8.794018,3.661664,6.775948,1
8.196824,9.690972,3.499857,1
2.381019,6.368718,4.737398,1
6.363259,9.385386,0.938585,1
5.405351,5.086435,6.986891,1
2.557163,6.405705,7.164923,1
0.602295,5.670332,3.709959,0
3.679964,8.822352,8.799772,1
1.413755,8.070986,6.609952,1
6.454591,2.92982,8.855047,1
1.061203,9.857787,9.458035,1
7.079271,4.660916,8.033199,1
4.251469,9.939332,9.04011,1
4.531882,4.810878,0.657484,1
7.26118,7.304357,4.968779,1
5.177064,5.543976,9.167629,1
2.020534,3.459391,1.149573,0
8.7529,4.124413,5.292557,1
7.171533,8.270075,3.842125,1
7.714687,3.593386,6.031253,1
3.207672,4.967103,6.019703,1
1.655577,9.223078,9.960623,1
4.085747,8.219769,4.779824,1
4.135089,4.656121,6.688756,1
9.791671,4.341295,7.773517,1
5.210938,9.673295,7.482276,1
0.320629,3.746397,4.099606,0
7.464355,6.938044,0.659469,0
7.082503,5.065759,0.67578,1
5.289676,6.289849,7.119677,1
7.821059,3.068699,6.365771,1
9.658499,3.173634,4.913375,0
9.265922,8.285492,2.542949,1
4.201452,8.764579,7.756168,1
5.19234,9.342862,8.906264,1
9.47068,2.751386,3.385149,1
0.697415,1.746108,7.182659,0
6.117569,4.868692,9.167131,1
4.97065,4.379751,2.791973,1
9.592077,0.646693,1.175595,1
8.970781,6.226382,9.662546,1
9.62371,0.441888,1.778613,1
3.37169,4.996339,7.072385,1
5.193948,7.009891,0.248132,1
4.259272,5.417627,7.266673,1
9.081138,0.785287,8.941969,1
2.530651,4.697674,2.779473,0
3.151655,9.41741,8.624759,1
0.567338,7.715187,5.459671,1
5.92415,8.946775,5.729698,0
3.055911,9.904944,4.39371,1
7.668117,3.790369,3.503875,1
2.90764,5.826525,0.218149,1
9.387915,3.580378,1.227049,1
4.383982,8.899631,5.988473,1
6.949891,1.972785,4.022355,1
1.661329,2.779598,9.751472,1
2.719231,8.336823,0.089387,1
5.563348,3.882687,2.825398,1
6.315652,8.135863,2.534218,1
4.379,8.949931,1.72427,1
4.483478,7.921778,5.051822,1
7.266446,4.907239,9.791652,1
9.59658,5.026274,1.083405,1
9.558826,9.712271,4.753024,1
5.599131,6.146917,7.365331,1
2.155291,4.387277,0.158471,0
7.558579,3.52414,5.676982,1
3.536261,5.085083,3.09762,1
1.94542,9.199053,9.11888,1
9.613468,1.198772,4.935743,1
1.399185,7.723479,4.492672,1
2.396647,5.663459,7.651438,1
1.493264,9.51209,8.338354,1
3.154719,6.336452,9.433202,1
6.613193,7.865628,7.340265,1
5.567608,0.152584,3.006656,1
9.919663,4.329919,9.818528,1
2.933958,6.24684,2.714767,1
6.423705,8.050697,1.358334,1
7.175055,4.078172,5.350165,1
4.971413,4.738963,3.816197,1
1.066383,7.236359,7.816314,1
6.411962,8.200584,7.717537,1
8.38971,0.518596,9.115529,1
7.896378,6.876682,4.800232,1
0.391321,3.698043,6.936168,0
8.388465,6.939783,7.686637,1
7.385963,6.370821,9.752328,1
1.292043,8.704947,4.216531,1
5.417378,7.966013,5.274181,1
4.564616,8.208209,1.429444,1
2.757302,8.591595,7.777551,1
9.386233,3.582094,0.991561,1
6.743483,6.463771,6.158098,0
8.137609,7.59893,2.872525,1
6.165394,0.302342,6.688943,0
6.458159,2.71649,5.229164,1
5.620609,3.44755,2.313806,1
7.443541,7.327485,6.734933,1
4.018196,4.991308,3.878821,1
8.2998,4.899609,4.962172,1
7.712467,7.251848,2.602034,0
3.85474,9.897893,7.174386,1
6.134603,9.373482,6.777485,1
4.803913,6.713935,2.084922,1
1.044509,1.412298,6.019499,0
9.449425,2.266972,8.958949,1
8.623217,6.150564,9.754176,1
5.172525,4.445549,5.35351,1
8.669652,6.124688,7.969183,1
8.353559,6.178377,0.690741,1
2.036021,9.56878,8.193975,1
6.326191,6.746737,1.139923,1
9.219372,2.124703,8.347333,1
4.482626,6.027415,5.434053,0
2.407573,0.377036,3.082813,0
0.953138,9.095476,1.27002,1
2.888429,8.76207,1.448034,1
1.358067,8.549705,6.638332,1
7.382151,2.316986,0.172774,1
8.291005,4.432597,7.774085,1
7.903412,1.484619,8.387929,0
2.10583,9.61014,2.897865,1
9.450182,9.750523,4.883668,1
4.710328,8.043223,5.248911,1
2.664369,4.068673,6.6128,1
0.824211,7.465284,5.183898,0
2.483915,5.607684,7.379171,1
8.629845,0.56227,2.198766,1
3.791044,7.388169,9.787592,0
4.925304,3.585103,2.238868,1
9.439817,6.357052,4.585584,1
9.57341,7.782992,3.208601,1
1.068157,9.925822,4.169065,1
3.150591,7.26772,5.163849,1
4.598015,1.074192,6.445301,0
5.353147,2.839613,8.10791,1
8.040599,6.445522,8.947777,1
8.368748,6.481161,6.758251,1
8.79641,1.811987,7.078603,1
9.925647,1.131681,9.429606,0
7.730202,8.934238,3.953918,1
1.956609,7.162348,5.005757,1
7.163775,6.688378,7.60133,1
4.600678,7.317246,9.096392,1
0.903912,6.92595,3.460811,0
8.76663,1.404173,2.65011,1
5.3602,9.307747,9.516653,1
7.718692,0.591832,1.121768,1
9.520414,7.034291,0.333218,1
8.677069,3.076646,7.604303,1
6.102834,9.834335,9.446307,1
7.08858,9.912279,3.05216,1
7.08628,5.353522,6.140389,1
3.158581,8.036912,9.342105,1
0.367987,4.910407,7.688936,0
6.388686,3.808948,9.680759,1
5.865287,9.441949,4.015622,1
6.853497,2.376693,3.826781,1
5.961563,7.032449,6.938981,1
4.843744,8.935485,2.08397,1
4.317808,6.869177,5.349302,1
6.265039,6.473614,1.270459,1
2.99651,5.344782,1.782582,1
4.170736,5.389937,7.709903,1
1.198454,1.931869,4.012733,1
8.661738,2.411576,3.928233,1
4.243315,7.616388,6.913439,1
8.613381,2.917634,3.431822,1
6.597614,4.062529,7.669915,1
8.932463,8.965975,1.335228,1
1.025048,9.237075,3.012213,0
8.45586,7.592735,9.353338,0
7.576369,5.695964,5.18894,0
5.609328,6.563109,8.311318,1
0.719806,3.978023,0.49704,1
3.92512,7.405157,8.092379,0
6.906834,7.805557,9.800815,1
4.282466,6.673278,3.771518,1
8.92848,8.729743,6.837025,1
3.748311,8.106234,0.17795,1
3.953929,8.628588,0.517204,1
7.057738,7.011318,6.781979,0
7.384921,5.726283,1.687081,0
6.007082,5.453708,6.144402,1
0.309422,1.046064,5.735984,1
1.296446,6.800168,1.529322,1
9.223208,2.481045,0.151742,1
7.655988,6.817296,1.444561,1
3.028244,8.717679,6.036526,1
6.475025,8.188528,4.027314,1
2.486406,6.041642,1.076574,0
9.417994,7.78307,8.533544,1
6.266551,7.178983,2.833335,1
8.268902,0.4392,1.704342,1
0.298875,1.474735,1.235401,0
3.242999,9.22086,2.896887,1
4.03795,7.28134,1.695913,1
8.473338,0.249533,8.174903,1
9.2952,6.415031,2.939054,1
3.047893,5.933378,1.025061,1
9.655009,8.212072,6.081475,1
9.078092,7.851594,0.6611,1
8.971761,8.948971,1.057414,1
6.865597,7.985792,9.905018,1
0.792495,4.824366,9.247608,0
6.228989,4.835968,0.369912,1
7.185774,4.641352,8.092327,1
8.159203,8.236694,5.609579,1
3.851222,8.867624,8.702536,1
2.691502,7.779242,3.527268,1
6.263206,2.03203,5.309769,1
6.617667,2.285714,7.325224,1
6.595446,4.174795,4.597661,1
8.826557,6.856501,7.176378,1
1.656573,4.068141,2.743481,0
3.718288,8.731544,2.583898,0
6.704566,1.362646,3.819554,1
3.486926,8.866041,3.042916,1
4.941104,9.956985,6.375903,1
6.742884,1.727531,4.964609,1
2.917235,7.909306,9.79607,0
9.695538,9.86924,6.839804,1
7.996306,7.275814,3.206534,1
4.76505,8.283291,5.550013,1
3.320947,4.075934,1.322724,0
6.37103,5.528251,4.864251,1
9.675066,2.128381,0.333735,1
9.451035,4.602268,7.132128,1
5.847048,5.795947,8.171163,1
1.042341,9.040546,3.163766,1
9.33413,7.921571,9.275526,1
3.305222,9.117037,9.520685,1
6.99961,6.522537,1.209161,1
6.948001,4.284636,1.417093,0
1.858078,4.025529,4.827462,0
8.047731,7.748507,2.083952,1
7.623475,4.048404,9.953767,1
6.979839,6.791885,6.52415,1
5.353732,3.588926,6.205733,1
9.092224,3.618254,1.68428,1
4.815351,7.368135,7.870799,1
3.030627,7.018007,9.314283,1
9.52362,8.321173,9.88478,1
4.392219,4.289171,5.492118,1
7.357556,0.177203,3.601409,1
8.132154,1.261591,0.098562,0
6.54597,4.0769,4.692046,1
7.923928,1.78451,4.447671,1
8.243264,5.992626,3.283962,1
3.874886,8.963822,2.111623,0
6.251423,8.657664,9.245646,0
3.875722,8.941313,0.59052,1
2.812232,5.538143,6.136629,1
8.022754,1.947867,8.301079,1
0.796522,6.440688,8.987161,0
3.090489,5.652879,7.298582,1
8.698938,7.807228,2.143918,1
7.435139,9.758093,3.59993,1
9.868052,7.607907,1.549986,1
8.845162,1.518392,8.554129,1
3.089262,7.105314,0.733995,1
9.356596,4.000892,5.342474,0
9.712514,2.11147,3.979691,1
2.795584,5.937489,5.377704,1
1.517588,4.331629,7.576485,0
3.243557,5.525111,0.348982,1
6.80286,8.258432,5.188382,0
8.991995,4.623509,4.65924,1
5.079886,3.420931,7.926808,0
6.806872,8.775374,2.509264,1
5.79157,6.160471,3.251466,1
6.101709,8.521722,5.861149,0
0.405177,9.331888,2.355828,1
4.493821,9.51734,3.415166,1
4.605826,1.313606,8.567563,0
8.597447,2.343941,0.309019,1
9.192439,9.530608,0.662818,1
5.319844,8.833919,7.898059,1
3.781469,7.922308,8.258544,1
9.145308,0.846766,7.214999,1
8.124708,3.04106,9.435188,1
7.347953,6.161952,8.766457,1
0.749537,9.801852,0.359272,1
9.523984,0.513753,1.477517,1
1.724435,2.045461,0.784783,0
8.29599,4.37514,1.69112,1
6.61487,9.368653,2.737326,1
6.63783,1.993914,8.573698,1
8.125298,2.594402,1.716123,0
5.023404,9.109429,3.096493,1
5.954407,9.506205,2.755557,1
8.035761,8.787551,9.615852,1
2.501772,6.866036,7.784838,1
2.633889,9.069906,1.194965,1
0.732222,0.013935,7.55983,0
4.884402,4.40215,3.829534,1
5.12887,4.876857,3.176067,1
5.889473,3.528465,3.681345,1
0.355796,8.927645,5.037366,1
8.878171,2.287152,5.872237,1
7.425381,9.605305,1.345286,0
4.274912,3.991644,3.020039,1
9.88231,1.2407,3.003312,0
0.133929,7.936455,4.876465,1
0.269705,4.722173,1.586863,0
4.721369,8.107838,1.109244,1
9.837359,5.356653,8.914717,1
9.714875,5.809401,7.988349,1
4.757286,9.847711,8.0009,1
4.109356,8.539887,0.765703,1
1.144246,7.175596,6.488416,1
3.906341,8.660428,4.300898,1
6.956308,4.812983,0.616581,1
3.260804,6.807041,7.020751,1
5.430604,1.449952,5.450233,0
4.702079,8.341383,4.810568,1
6.115178,6.578005,2.0824,1
4.165847,4.037357,7.382539,1
8.44629,4.849373,7.773134,1
2.155695,6.414741,7.086692,1
9.76509,5.530515,5.611332,1
3.334742,4.690483,3.416446,1
9.809805,7.101077,3.410028,1
8.91789,8.677924,6.2663,1
0.759486,0.686706,8.079965,0
1.393186,7.177976,2.829396,1
9.433728,1.12505,0.220396,1
7.66874,8.509072,1.158724,1
7.448289,3.255618,4.248374,1
9.254319,2.495907,8.537685,1
4.114706,6.534166,1.147693,1
9.818728,1.877057,6.333596,1
1.268158,6.741874,4.905698,0
6.624218,7.794954,2.140537,1
1.326075,3.754836,6.121662,0
6.83504,8.436905,3.028451,1
9.758583,5.440454,9.172621,1
6.73319,2.732941,4.250148,0
4.511569,5.2037,0.259757,1
6.633049,3.284516,0.079655,0
6.902443,1.69246,2.131759,1
6.513302,9.05951,1.098338,0
5.188796,3.471172,5.492339,1
9.603208,1.493165,7.309929,1
3.596644,0.576605,6.935736,0
5.095799,6.848231,8.197568,1
8.255269,8.592243,3.680987,1
6.356182,6.659213,5.568276,1
8.374789,0.775073,6.166433,1
9.684436,7.465075,2.87596,1
6.338394,8.190017,0.899243,1
9.47864,0.195048,5.91551,1
7.90858,6.484907,8.679997,1
5.14054,6.215775,0.771516,0
1.746186,6.073764,9.587411,0
6.062721,3.531894,0.567436,1
7.744053,2.213035,9.992823,1
5.658785,2.888819,0.503884,1
2.884082,7.331145,6.582152,1
3.583512,6.543594,1.713094,1
5.624304,6.379178,1.982577,0
3.486993,6.819692,7.886677,1
5.952719,9.690674,4.228502,0
7.16174,9.352679,5.147209,1
0.089385,2.07902,3.801281,0
5.04392,7.968331,8.134108,0
5.98816,4.937454,3.157692,0
2.057962,9.734025,1.602916,1
7.969018,2.636312,3.098614,1
1.657732,7.223985,2.414337,1
9.260295,3.267021,6.526856,1
0.127405,8.495076,1.910071,0
7.629911,9.34306,1.64939,1
2.692963,9.760943,5.688531,1
5.715989,0.117134,8.011796,0
8.302982,2.798831,5.979936,1
7.435801,4.654175,1.430205,1
6.001001,8.321809,3.2565,1
9.956274,9.966556,1.985346,1
4.772859,8.95011,5.105138,1
8.476114,7.692216,1.456077,1
8.007247,7.576001,0.056368,1
3.938821,4.286625,8.497937,1
8.21436,5.054943,2.46398,1
1.706067,5.405265,5.559919,0
9.192287,5.417479,5.127865,1
5.434608,4.933324,8.742427,0
6.717508,3.735024,9.247829,1
3.507954,8.730739,3.045785,1
9.298146,9.603063,7.483083,1
9.114816,2.338751,5.513668,1
5.37526,8.773439,1.551794,1
8.869871,1.50396,8.613683,1
7.461205,9.451827,9.892713,1
0.953112,0.336419,8.871104,0
4.991688,8.974247,6.170647,1
6.458864,8.591574,2.944811,1
7.809552,9.964804,1.318602,1
7.444455,6.834885,1.283241,1
9.364396,0.172351,1.087422,1
2.198681,6.532967,1.246343,1
3.784693,7.18071,9.222016,1
9.217764,6.251603,5.335652,1
8.06038,3.012945,5.5904,1
2.865702,0.152818,4.952062,0
5.088491,8.412475,5.722998,1
7.563749,5.982992,9.578802,1
8.876569,5.707287,7.258064,1
4.076799,7.537834,1.379638,1
7.708804,8.596402,3.497254,1
6.389282,5.747379,6.45456,1
6.236071,9.690558,3.25324,1
9.48029,5.484993,8.962335,1
5.425511,5.828691,7.718171,1
1.965002,0.935061,7.576163,0
6.158402,5.93804,6.183071,1
5.966029,4.351494,9.753945,0
6.16663,5.745535,4.166098,1
4.865552,8.727531,1.245324,1
2.807344,6.03648,8.867591,1
6.234842,4.991734,8.173627,1
9.804874,0.545955,8.494911,1
7.204564,2.564781,7.618978,1
4.791193,5.468113,8.959066,1
1.512261,5.472479,1.02959,0
7.698336,5.686306,0.425425,1
5.287024,3.396173,2.900965,1
5.252381,7.979772,4.193805,1
4.33659,9.532324,6.876574,1
3.2685,6.592167,4.98398,1
1.058019,6.974046,0.98917,1
6.994868,5.91114,5.37014,1
8.939182,9.160059,0.860924,1
3.496875,7.610494,4.951809,1
6.208893,1.433356,1.016555,1
5.695253,2.658293,0.534381,1
8.330439,4.174452,6.233651,1
8.166104,7.042356,9.219865,1
4.504764,5.93687,4.859906,0
0.730815,7.922875,8.956494,1
8.95259,9.489003,8.119207,1
8.050899,7.858242,9.123753,0
8.900733,2.10849,5.611336,1
3.662997,6.528496,7.173985,1
1.680497,1.099767,7.868212,1
7.220854,5.438919,9.391194,1
8.338484,2.631324,5.294286,1
4.359286,5.651199,7.834498,0
2.71802,8.033435,2.389391,1
6.867575,5.184869,1.212067,1
1.5313,7.033992,6.936815,1
7.93168,6.078172,1.389244,1
3.842099,5.865639,7.613574,0
7.527003,1.195699,3.302345,1
6.26706,1.4693,9.175325,0
9.826011,4.702307,8.426396,0
9.124593,6.392847,0.495876,1
5.920084,9.740334,5.848025,1
4.542363,9.78449,8.910556,1
2.695455,9.140247,6.702947,1
8.361291,0.644832,0.393933,1
5.835021,2.337648,8.245249,1
6.369034,7.836062,5.67687,1
4.932307,4.867385,5.334505,0
2.979834,2.711669,7.680398,0
8.71281,6.366242,4.796515,1
9.249794,7.331922,2.514298,1
8.435833,1.378639,4.765915,1
4.831219,9.780709,7.412022,1
1.951862,7.016939,4.794489,1
1.344763,8.893209,6.168194,1
9.149202,4.031415,1.598579,0
4.704219,9.717666,8.454612,1
8.691145,5.869147,4.167065,1
1.969772,0.530645,7.821568,0
8.173982,8.381158,1.211317,1
6.617211,8.387513,4.409798,1
1.897174,7.466737,8.40292,1
3.517784,6.855745,4.023782,1
4.417675,4.860083,4.107363,1
6.089165,3.948512,3.578883,1
8.532579,9.993209,4.155968,1
6.616326,3.781495,9.009369,1
8.347721,2.517314,1.669966,1
3.516559,4.394421,9.542141,0
8.488098,6.34293,6.036953,1
9.057796,3.423329,9.487129,1
7.182807,1.653153,9.281689,1
3.406636,5.547028,8.203889,1
6.695779,2.471467,4.705018,1
9.160612,0.107268,8.74362,1
8.290187,1.948395,9.483418,1
6.645298,1.957111,3.393757,1
6.218333,4.587451,5.728878,1
2.838624,4.165695,7.177405,0
4.160827,9.741884,4.697492,1
6.371787,3.59452,9.193426,1
4.799218,9.799722,3.809775,1
3.703817,8.993451,0.799309,1
6.645913,7.053439,2.642777,1
7.848591,6.262876,2.262947,1
8.06113,3.252222,3.135289,1
3.921889,9.840065,5.434238,1
2.947009,9.28505,7.138699,1
4.255035,3.262357,4.125037,0
9.227583,0.195294,4.493554,1
3.404379,7.151744,0.196948,1
8.492672,0.436088,9.31968,1
5.837753,2.841204,9.748418,1
7.775283,9.922463,8.819618,1
9.177286,6.476868,9.379831,1
3.710233,8.706674,9.625725,1
9.783205,5.796217,1.257744,1
2.039173,6.108158,8.637491,1
1.021396,1.747767,6.664602,0
3.653403,8.067106,7.08416,1
8.58333,6.392537,8.021871,1
6.270092,9.167513,9.710659,1
9.035949,2.202857,3.429966,0
7.700735,3.447369,3.492764,1
9.846165,7.108681,5.550144,1
2.004313,7.180006,7.51653,1
6.146809,3.84569,1.679786,1
7.440168,6.181732,1.609076,1
4.91778,0.8536,8.998513,0
8.762901,0.252696,3.168781,1
0.180659,9.26373,3.200764,1
8.7333,8.506918,2.984984,0
9.87984,7.995966,9.11958,0
9.103013,7.23989,6.481145,1
5.426632,8.536192,0.228723,1
7.994932,0.055413,4.952002,1
4.904988,9.68608,3.776028,1
9.276991,5.652654,3.594685,1
0.215388,1.74323,5.460714,0
6.346819,8.758851,9.961982,1
3.543048,7.158625,0.702423,1
4.961887,7.48123,8.246526,1
3.469041,5.11731,9.301083,1
2.937975,7.836775,1.166633,1
